Grób,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,Masa [g],Iloœæ skorup,Uwagi2.0,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,nak³uwanie
214,b,b,ch,k,-,-,3b,2159,74,,,,,,,,,,,,,,,,,
215,b,b,g,k,-,-,3a,3385,115,,,,,,,,,,,,,,,,,
216,b,b,ch,k,guzki miseczkowate,-,3b,1071,127,,1,,,,,,,,,,,,,,,
217,b,b,g,k,-,-,3a,2288,204,,,,,,,,,,,,,,,,,
217,b,b,g,k,poziome listewki plastyczne imituj¹ce ucha,misa,3a,855,49,,,,,,,,,,,,,1,,,,
218,b,b,ch wyg³.,,-,-,nan,1727,11,,,,,,,,,,,,,,,,,
219,b,b,ch,k,"otwory pod wylewem; guzki plastyczne z wg³êbieniami, listwy karbowane",-,3b,2043,83,,1,,,,,,,1,,,1,,,,,
220,b,b,ch,k,do³ki paznokciowe; guzy plastyczne; listwy karbowane; otwory pod wylewem,-,3b,3679,50,,,,1,,,,1,1,,,1,,,,,
221,b,b,ch,k,otwory pod wylewem,-,3b,2096,30,,,,,,,,,1,,,,,,,,
222,b,b,g,k,-,-,3a,1262,39,,,,,,,,,,,,,,,,,
223,b,b,ch,k,"otwory pod wylewem, listwy karbowane, obmazywanie",-,3b,1263,94,,,,,,,,,1,,,1,,,,,
224,b,b,ch,k,"otwory pod wylewem, linie ryte (?), obmazywanie",garnek,3b,1599,114,,,1,,,,,,1,,,,,,,,
224,b,b,g,k,-,misa,3a,351,26,,,,,,,,,,,,,,,,,
225,b,b,ch,k,obmazywanie,-,3b,2695,66,,,,,,,,,,,,,,,,,
226,b,b,g,k,-,-,3a,963,71,,,,,,,,,,,,,,,,,
226,b,b,g,0,-,misa,3a,229,29,,,,,,,,,,,,,,,,,
227,b,b,ch,k,do³ki paznokciowe,-,3b,1390,136,,,,,,,,1,,,,,,,,,
228,b,b,ch,k,-,-,3b,1083,26,,,,,,,,,,,,,,,,,
229,b,b,g,k,przek³ute guzy imituj¹ce ucha,-,3a,613,45,,,,1,,,,,,,,,,,,,
230,b,b,ch,k,-,-,3b,1194,130,,,,,,,,,,,,,,,,,
231,b,b,g,k,-,-,3a,1875,90,,,,,,,,,,,,,,,,,
232,b,b,g,k,kompozycja linii rytych i guzów plastycznych,-,3a,372,32,,,1,1,,,,,,,,,,,,,
233,b,b,ch,k,do³ki paznokciowe,-,3b,2169,116,,,,,,,,1,,,,,,,,,
234,b,b,g,k,pod³u¿ne plastyczne guzy,waza,3a,3795,51,,,,1,,,,,,,,,,,,,
234,b,b,g,k,-,misa,3a,509,25,,,,,,,,,,,,,,,,,
235,b,b,g,k,-,waza,3a,2990,38,,,,,,,,,,,,,,,,,
235,b,b,g,0/k,-,misa,3a,407,20,,,,,,,,,,,,,,,,,
236,b,b,g,k,guzy na najw. Wydêtoœci brzuœca,-,3a,2347,86,,,,1,,,,,,,,,,,,,
237,b,b,g,k,przek³uty poziomo guz imituj¹cy ucho,misa,3a,856,11,,,,1,,,,,,,,,,,,,
237,b,b/c,g,k,-,-,3a,646,30,,,,,,,,,,,,,,,,,
238,b,b,g,k,-,GIPS,3a,1954,61,,,,,,,,,,,,,,,,,
239,b,b/c,g,k,grupy plastycznych listewek,-,3a,1614,90,,,,,,,,,,,,,1,,,,
240,b,b,g,k(s?),wyg³adzanie,garnek,3a,1819,135,,,,,,,,,,,,,,,,,
240,b,b,g,k,-,misa,3a,764,48,,,,,,,,,,,,,,,,,
241,b,b/c,g,k,guzy imituj¹ce ucha,misa,3a,169,7,,,,1,,,,,,,,,,,,,
241,b,b,ch,k,listewki karbowane,-,3b,2805,80,,,,,,,,,,,,1,,,,,
242,b,b,ch,k,"otwory pod wylewem, rz¹d do³ków paznokciowych",garnek,3b,2026,85,,,,,,,,1,1,,,,,,,,
242,b,b,g,0,-,miseczka,3a,82,1,,,,,,,,,,,,,,,,,
243,b,b,ch,k,"guzki plastyczne z wg³êbieniami, do³ki paznokciowe",-,3b,1836,110,,1,,,,,,1,,,,,,,,,
244,b,b,g,0/k,kompozycja linii rytych na brzuœcu,waza,3a,2030,96,,,1,,,,,,,,,,,,,,
244,b,b,g,0/k,-,miseczka,3a,124,24,,,,,,,,,,,,,,,,,
245,b,b,g,0/k,-,-,3a,1561,53,,,,,,,,,,,,,,,,,
245,b,b,g,k,-,miseczka,3a,42,1,,,,,,,,,,,,,,,,,
246,b,b,g,0/k,-,-,3a,1664,25,,,,,,,,,,,,,,,,,
246,b,b,g,0/k/p?,guzy plastyczne na kraw. Wylewu; podwójnie pionowo przek³uta listewka imituj¹ca ucha,misa,3a,683,41,,,,1,,,,,,,,,1,,,,
247,b,b,g,k,-,-,3a,2417,40,,,,,,,,,,,,,,,,,
248,b,b,g,k,-,-,3a,1426,122,,,,,,,,,,,,,,,,,
249,b,b,ch,k,-,bia³y nalot,3b,257,16,,,,,,,,,,,,,,,,,
250,b,b,-,k,-,-,nan,325,17,,,,,,,,,,,,,,,,,
251,b,b,g,k,kompozycja linii rytych,waza,3a,324,23,,,1,,,,,,,,,,,,,,
251,b,b,g,k,-,misa,3a,28,2,,,,,,,,,,,,,,,,,
252,b,b,g,k,-,-,3a,2478,39,,,,,,,,,,,,,,,,,
253,b,b,g,k,"kompozycja linii rytych i listewek plastycznych, otwory pod wylewem",-,3a,2146,130,,,1,,,,,,1,,,,1,,,,
254,b,b,ch,k,otwory pod wylewem,garnek,3b,2244,86,,,,,,,,,1,,,,,,,,
254,,,,,-,naczynie o lekko wychylonym wylewie,nan,,32,,,,,,,,,,,,,,,,,
255,b,b,g,k,kompozycja linii rytych,waza,3a,1860,207,,,1,,,,,,,,,,,,,,
255,b,b,g,0/k,-,czerpak,3a,60,1,,,,,,,,,,,,,,,,,
256,b,b,g,"0/k, s?",-,GIPS,3a,1835,65,,,,,,,,,,,,,,,,,
256,b,b,g,k,-,miseczka,3a,91,1,,,,,,,,,,,,,,,,,
257,b,b,g,k,-,-,3a,1060,25,,,,,,,,,,,,,,,,,
258,b,b,g,k,plastyczna listwa z grupami skoœnych listewek na najw. Wydêtoœci brzuœca,-,3a,1495,65,,,,,,,,,,,,,1,,,,
259,b,b,g,0/k,grupy pionowych listewek imituj¹cych ucha,-,3a,713,16,,,,,,,,,,,,,1,,,,
